mal_id,title,large_image_url,episodes,score,year,genre1,genre2,genre3
"635","Juubee-chan: Lovely Gantai no Himitsu","https://cdn.myanimelist.net/images/anime/13/60987l.jpg","13","6.66","","Action","Adventure","Comedy"
"636","Juubee-chan 2: Siberia Yagyuu no Gyakushuu","https://cdn.myanimelist.net/images/anime/7/20768l.jpg","13","6.82","","Action","Adventure","Comedy"
"637","Iketeru Futari","https://cdn.myanimelist.net/images/anime/5/19958l.jpg","16","6.52","","Comedy","Romance","Ecchi"
"940","Inukami!","https://cdn.myanimelist.net/images/anime/1405/110246l.jpg","26","7.21","","Comedy","Romance","Supernatural"
"941","Renkin San-kyuu Magical? Pokaan","https://cdn.myanimelist.net/images/anime/6/75229l.jpg","12","6.94","","Comedy","Ecchi",""
"942","Nishi no Yoki Majo: Astraea Testament","https://cdn.myanimelist.net/images/anime/9/75549l.jpg","13","6.67","","Comedy","Drama","Fantasy"
"943","Yume Tsukai","https://cdn.myanimelist.net/images/anime/12/46721l.jpg","12","6.43","","Drama","Fantasy","Slice of Life"
"944","The Third: Aoi Hitomi no Shoujo","https://cdn.myanimelist.net/images/anime/12/75545l.jpg","24","7.29","","Action","Adventure","Sci-Fi"
"951","Chibi Maruko-chan","https://cdn.myanimelist.net/images/anime/1760/145402l.jpg","142","7.66","","Comedy","",""
"952","Magical Nyan Nyan Taruto","https://cdn.myanimelist.net/images/anime/1/952l.jpg","12","6.2","","Comedy","",""
"953","Juu Ou Sei","https://cdn.myanimelist.net/images/anime/3/14079l.jpg","11","7.18","","Action","Adventure","Drama"
"956","Daikuu Maryuu Gaiking","https://cdn.myanimelist.net/images/anime/1196/134634l.jpg","44","6.66","","Action","Adventure","Sci-Fi"
"957","Saiunkoku Monogatari","https://cdn.myanimelist.net/images/anime/1976/139963l.jpg","39","7.87","","Adventure","Fantasy","Romance"
"958","Heat Guy J","https://cdn.myanimelist.net/images/anime/10/76288l.jpg","25","7.12","","Action","Adventure","Sci-Fi"
"959","Shin Chou Kyou Ryo: Condor Hero","https://cdn.myanimelist.net/images/anime/1698/139204l.jpg","26","7.29","","Adventure","Drama","Romance"
"960","Shin Chou Kyou Ryo: Condor Hero II","https://cdn.myanimelist.net/images/anime/1788/139203l.jpg","26","7.23","","Adventure","Drama","Romance"
"961","Virtua Fighter","https://cdn.myanimelist.net/images/anime/1234/110241l.jpg","35","7.1","","Action","",""
"962","Aria the Natural","https://cdn.myanimelist.net/images/anime/2/77621l.jpg","26","8.16","","Sci-Fi","Slice of Life",""
"964","Hit wo Nerae!","https://cdn.myanimelist.net/images/anime/10/75237l.jpg","8","5.46","","Comedy","Ecchi",""
"965","Yoshinaga-sanchi no Gargoyle","https://cdn.myanimelist.net/images/anime/1259/134889l.jpg","13","6.76","","Comedy","Fantasy","Slice of Life"
"966","Crayon Shin-chan","https://cdn.myanimelist.net/images/anime/10/59897l.jpg","","7.81","","Comedy","Ecchi",""
"967","Hokuto no Ken","https://cdn.myanimelist.net/images/anime/8/18502l.jpg","109","7.96","","Action","Drama","Sci-Fi"
"968","Kakutou Bijin Wulong: Rebirth","https://cdn.myanimelist.net/images/anime/6/23598l.jpg","25","6.85","","Action","Comedy",""
"969","Tsubasa Chronicle 2nd Season","https://cdn.myanimelist.net/images/anime/4/6554l.jpg","26","7.57","","Action","Adventure","Drama"
"1261","Kyattou Ninden Teyandee","https://cdn.myanimelist.net/images/anime/1380/100202l.jpg","54","7.03","","Action","Comedy","Sci-Fi"
"1264","Yoroiden Samurai Troopers","https://cdn.myanimelist.net/images/anime/1855/92738l.jpg","39","7.07","","Adventure","Sci-Fi",""
"1279","Taiyou no Ko Esteban","https://cdn.myanimelist.net/images/anime/1936/134369l.jpg","39","7.74","","Adventure","Sci-Fi",""
"1281","Gakkou no Kaidan","https://cdn.myanimelist.net/images/anime/1414/112029l.jpg","19","7.75","","Horror","Mystery","Supernatural"
"1569","Otome wa Boku ni Koishiteru","https://cdn.myanimelist.net/images/anime/7/75483l.jpg","12","7.02","","Comedy","Drama","Romance"
"1570","Happiness!","https://cdn.myanimelist.net/images/anime/9/75250l.jpg","12","6.34","","Comedy","Romance",""
"1571","Ghost Hunt","https://cdn.myanimelist.net/images/anime/11/73908l.jpg","25","7.74","","Horror","Mystery","Supernatural"
"1572","Jungle Taitei","https://cdn.myanimelist.net/images/anime/1615/134203l.jpg","52","6.58","","Adventure","",""
"1573","Kishin Douji Zenki","https://cdn.myanimelist.net/images/anime/1014/98589l.jpg","51","6.97","","Action","Comedy","Drama"
"1574","Get Ride! AMDriver","https://cdn.myanimelist.net/images/anime/12/21726l.jpg","51","6.27","","Adventure","Sci-Fi",""
"1575","Code Geass: Hangyaku no Lelouch","https://cdn.myanimelist.net/images/anime/1032/135088l.jpg","25","8.7","","Action","Award Winning","Drama"
"1578","Koisuru Tenshi Angelique: Kokoro no Mezameru Toki","https://cdn.myanimelist.net/images/anime/10/76293l.jpg","13","6.81","","Adventure","Comedy","Drama"
"1579","Kiniro no Corda: Primo Passo","https://cdn.myanimelist.net/images/anime/9/7228l.jpg","25","7.4","","Romance","",""
"1581","Gift: Eternal Rainbow","https://cdn.myanimelist.net/images/anime/2/75540l.jpg","12","6.55","","Comedy","Drama","Romance"
"1583","009-1","https://cdn.myanimelist.net/images/anime/11/19998l.jpg","12","6.21","","Action","Sci-Fi",""
"1587","Tenpou Ibun: Ayakashi Ayashi","https://cdn.myanimelist.net/images/anime/1122/133858l.jpg","25","6.84","","Supernatural","",""
"1588","Mamoru-kun ni Megami no Shukufuku wo!","https://cdn.myanimelist.net/images/anime/7/75243l.jpg","24","7.01","","Comedy","Romance",""
