mal_id,title,large_image_url,chapters,score,published_from,year,genre1,genre2,genre3
"344","ES: Eternal Sabbath","https://cdn.myanimelist.net/images/manga/2/174740l.jpg","83","7.81","2001-08-23","2001","Drama","Sci-Fi","Supernatural"
"345","Kidou Senshi Gundam SEED: X Astray","https://cdn.myanimelist.net/images/manga/5/184670l.jpg","11","7.03","2003-09-26","2003","Action","Sci-Fi",""
"346","Free Collars Kingdom","https://cdn.myanimelist.net/images/manga/1/862l.jpg","18","6.75","2002-01-01","2002","Action","Adventure","Comedy"
"347","Gachagacha","https://cdn.myanimelist.net/images/manga/1/143255l.jpg","97","7.18","2002-08-07","2002","Comedy","Romance","Ecchi"
"348","Genshiken","https://cdn.myanimelist.net/images/manga/3/161681l.jpg","127","8.21","2002-04-25","2002","Comedy","Drama","Slice of Life"
"349","Shin Kidou Senki Gundam Wing","https://cdn.myanimelist.net/images/manga/3/301296l.jpg","12","6.78","1995-04-15","1995","Action","Sci-Fi",""
"350","Gokuraku Seishun Hockey Club","https://cdn.myanimelist.net/images/manga/1/241814l.jpg","54","7.54","2005-01-01","2005","Comedy","",""
"351","Kidou Senshi Gundam SEED","https://cdn.myanimelist.net/images/manga/1/306872l.jpg","25","6.74","2002-10-26","2002","Action","Drama","Romance"
"352","Kidou Senshi Gundam: École du Ciel","https://cdn.myanimelist.net/images/manga/1/149934l.jpg","68","7.38","2001-12-18","2001","Action","Sci-Fi",""
"353","Kidou Senshi Gundam Senki: Lost War Chronicles","https://cdn.myanimelist.net/images/manga/3/152342l.jpg","10","6.96","2002-05-25","2002","Action","Drama","Sci-Fi"
"354","Happy Mania","https://cdn.myanimelist.net/images/manga/4/263715l.jpg","62","6.82","1996-01-01","1996","Comedy","Romance",""
"355","Harlem Beat","https://cdn.myanimelist.net/images/manga/2/183416l.jpg","247","7.52","1994-07-27","1994","Drama","Sports",""
"356","Hatenkou Yuugi","https://cdn.myanimelist.net/images/manga/2/172703l.jpg","195","7.91","1999-11-18","1999","Action","Adventure","Comedy"
"357","Wolf's Rain","https://cdn.myanimelist.net/images/manga/2/181408l.jpg","11","7.15","2003-02-26","2003","Action","Adventure","Drama"
"358","Haunted House","https://cdn.myanimelist.net/images/manga/3/102063l.jpg","8","6.81","1998-08-01","1998","Comedy","",""
"359","Kijuushin Seiki Zoids","https://cdn.myanimelist.net/images/manga/4/209555l.jpg","","7.06","1999-04-15","1999","Action","Sci-Fi",""
"360","Heat Guy J","https://cdn.myanimelist.net/images/manga/3/164806l.jpg","5","6.24","2002-08-26","2002","Action","Sci-Fi",""
"361","Heaven Above Heaven","https://cdn.myanimelist.net/images/manga/3/152325l.jpg","","","2005-01-01","2005","Action","Adventure","Mystery"
"362","Heaven!!","https://cdn.myanimelist.net/images/manga/3/144089l.jpg","13","7.31","2003-04-12","2003","Comedy","Romance","Supernatural"
"363","Zoids Shinseiki/Zero","https://cdn.myanimelist.net/images/manga/4/58755l.jpg","4","","2001-02-01","2001","Action","Sci-Fi",""
"364","Hibiki no Mahou","https://cdn.myanimelist.net/images/manga/3/173205l.jpg","35","7.65","2004-06-26","2004","Adventure","Fantasy",""
"365","Honey Mustard","https://cdn.myanimelist.net/images/manga/3/152219l.jpg","23","6.93","2003-01-01","2003","Comedy","Romance",""
"366","Hoshi no Koe","https://cdn.myanimelist.net/images/manga/2/130253l.jpg","10","7.8","2004-02-25","2004","Drama","Romance","Sci-Fi"
"367","Hyper Police","https://cdn.myanimelist.net/images/manga/3/180631l.jpg","97","7.2","1993-02-09","1993","Action","Comedy","Fantasy"
"368","Cyber Planet 1999: HYPER☆Rune","https://cdn.myanimelist.net/images/manga/2/1105l.jpg","","","1996-01-01","1996","Action","Adventure","Fantasy"
"369","I Wish...","https://cdn.myanimelist.net/images/manga/1/261786l.jpg","50","7.62","2000-01-01","2000","Drama","Romance","Slice of Life"
"370","I.N.V.U.","https://cdn.myanimelist.net/images/manga/3/247887l.jpg","","6.9","2000-01-01","2000","Drama","Romance",""
"371","Ichigo Mashimaro","https://cdn.myanimelist.net/images/manga/4/156517l.jpg","","7.9","2002-02-15","2002","Comedy","Slice of Life",""
"372","Ikkitousen","https://cdn.myanimelist.net/images/manga/1/180440l.jpg","187","6.79","2000-04-26","2000","Action","Supernatural","Ecchi"
"373","Meteor Methuselah","https://cdn.myanimelist.net/images/manga/1/198155l.jpg","61","8.19","1998-08-26","1998","Action","Adventure","Drama"
"374","In Dream World","https://cdn.myanimelist.net/images/manga/4/7247l.jpg","25","6.48","2003-01-01","2003","Action","Fantasy","Supernatural"
"375","Initial D","https://cdn.myanimelist.net/images/manga/2/186990l.jpg","724","8.24","1995-06-26","1995","Action","Drama",""
"376","Innocent W","https://cdn.myanimelist.net/images/manga/3/180642l.jpg","24","6.84","2003-11-29","2003","Action","Drama",""
